№ записи,Полное наименование нефтеперерабатывающего завода,Сокращенное наименование нефтеперерабатывающего завода,Юридический / почтовый адрес заявителя,Фактический / планируемый адрес расположения нефтеперерабатывающего завода,"Глубина переработки, % (на момент включения в реестр)",Основание и дата внесения в реестр,"Статус нефтеперерабатывающего завода (введен в эксплуатацию, строящийся, проектируемый)"
22,Филиал Публичного акционерного общества «Акционерная нефтяная Компания «Башнефть» «Башнефть – Новойл»,Филиал ПАО АНК «Башнефть» «Башнефть – Новойл»,"450037, Республика Башкортостан, г. Уфа","Республика Башкортостан, г. Уфа",86,Распоряжение Минэнерго России о внесении изменений              № 17-р от                6 июля 2015г,введен в эксплуатацию
23,Филиал Публичного акционерного общества «Акционерная нефтяная Компания «Башнефть» «Башнефть – Уфанефтехим»,Филиал ПАО АНК «Башнефть» «Башнефть – Уфанефтехим»,"450045, Республика Башкортостан, г. Уфа","Республика Башкортостан, г. Уфа",92,Распоряжение Минэнерго России о внесении изменений              № 17-р от                6 июля 2015г,введен в эксплуатацию
24,Открытое акционерное общество «Газпромнефть-Омский НПЗ»,ОАО «Газпромнефть-ОНПЗ»,"644040, г. Омск, проспект Губкина, д. 1","г. Омск, проспект Губкина, д. 1",84,Распоряжение Минэнерго России № 21-р от 20 сентября 2011г,введен в эксплуатацию
25,Общество с ограниченной ответственностью «ЛУКОЙЛ – Ухтанефтепереработка»,ООО «ЛУКОЙЛ – УНП»,"169300, Республика Коми, г. Ухта,ул.Заводская, д.11","Республика Коми, г.Ухта,ул. Заводская, д.11",66,Распоряжение Минэнерго России № 22-р от 22 сентября 2011г,введен в эксплуатацию
26,Открытое акционерное общество «Хабаровский нефтеперерабатывающий завод»,ОАО «Хабаровский НПЗ»,"680011, г. Хабаровск, ул.Металлистов, д. 17","г. Хабаровск, ул.Металлистов, д. 17",64,Распоряжение Минэнерго России № 22-р от 22 сентября 2011г,введен в эксплуатацию
27,Открытое акционерное общество «Саратовский нефтеперерабатывающий завод»,ОАО «Саратовский НПЗ»,"410022, г. Саратов, ул.Брянская, д. 1","г. Саратов, ул. Брянская, д. 1",71,Распоряжение Минэнерго России № 22-р от 22 сентября 2011г,введен в эксплуатацию
28,Закрытое акционерное общество «Рязанская нефтеперерабатывающая компания»,ЗАО «РНПК»,"390011, г. Рязань, район Южный Промузел, д. 8","г. Рязань, район Южный Промузел, д. 8",64,Распоряжение Минэнерго России № 22-р от 22 сентября 2011г,введен в эксплуатацию
29,Общество с ограниченной ответственностью «ЛУКОЙЛ – Нижегороднефтеоргсинтез»,ООО «ЛУКОЙЛ – Нижегороднефтеоргсинтез»,"607650, Нижегородская обл., г.Кстово","Нижегородская обл., г.Кстово, промзона",65,Распоряжение Минэнерго России № 23-р от 18 октября 2011г,введен в эксплуатацию
30,Общество с ограниченной ответственностью «Нефтеперерабатывающая компания «Катализ»,ООО «НПК «Катализ»,"665805, Иркутская обл., г.Ангарск, Первый промышленный массив, квартал 17, стр.1","Иркутская обл., г.Ангарск, промзона",55,Распоряжение Минэнерго России № 23-р от 18 октября 2011г,введен в эксплуатацию
31,Общество с ограниченной ответственностью  «ЭКОАЛЬЯНС М»,ООО «ЭКОАЛЬЯНС М»,"125480, г.Москва, ул.Планерная, д.3, к.4, офис 4","Ульяновская обл., Новоспасский р-н, с.Свирино",95,Распоряжение Минэнерго России № 23-р от 18 октября 2011г,проектируемый
32,Открытое акционерное общество «Орскнефтеоргсинтез»,ОАО «Орскнефтеоргсинтез»,"462407, Оренбургская обл., г.Орск, ул.Гончарова, 1А","Оренбургская обл., г.Орск, ул. Гончарова, 1А",62,Распоряжение Минэнерго России № 24-р от 18 октября 2011г,введен в эксплуатацию
33,Общество с ограниченной ответственностью «Афипский нефтеперерабатывающий завод»,ООО «Афипский НПЗ»,"353236, Краснодарский край, Северский р-н, пос. Афипский","Краснодарский край, Северский р-н, пос.Афипский",52,Распоряжение Минэнерго России № 24-р от 18 октября 2011г,введен в эксплуатацию
34,Общество с ограниченной ответственностью «Ильский нефтеперерабатывающий завод»,ООО «Ильский НПЗ»,"353230, Краснодарский край, Северский р-н, пос.Ильский, 55 км автодороги Краснодар-Новороссийск","Краснодарский край, Северский р-н, пос.Ильский, 55 км автодороги Краснодар-Новороссийск",59,Распоряжение Минэнерго России № 24-р от 18 октября 2011г,введен в эксплуатацию
35,Открытое акционерное общество «Новошахтинский завод нефтепродуктов»,ОАО «НЗНП»,"346392, Ростовская обл., Красносулинский р-н, с.п.Киселевское, 882 км+700м автомагстрали М-19 «Новошахтинск – майский»","Ростовская обл., Красносулинский р-н, с.п.Киселевское, 882 км+700м автомагстрали М-19 «Новошахтинск – майский»",47,Распоряжение Минэнерго России № 24-р от 18 октября 2011г,введен в эксплуатацию
36,Общество с ограниченной ответственностью «ВСП Крутогорский нефтеперерабатывающий завод»,ООО «ВСП Крутогорский НПЗ»,"644902, г. Омск, мкр.Крутая горка, Промплощадка, 1","г. Омск, мкр. Крутая горка, Промплощадка, 1",92,Распоряжение Минэнерго России о внесении изменений              № 39-р от                25 декабря 2015г,проектируемый
37,Общество с ограниченной ответственностью «Томскнефтепереработка»,ООО «Томскнефтепереработка»,"634530, Томская обл., Томский р-н, с.Семилужки,           ул. Нефтепровод, 2","Томская обл., Томский р-н, с.Семилужки, ул.Нефтепровод, 2",95,Распоряжение Минэнерго России № 25-р от 18 октября 2011г,проектируемый
38,Общество с ограниченной ответственностью «Итатский нефтеперерабатывающий завод»,ООО «Итатский НПЗ»,"652245, Кемеровская обл., Тяжинский р-н, пгт. Итатский, ул. Горького, 1","Кемеровская обл., Тяжинский р-н, пгт. Итатский, ул. Горького, 1",85,Распоряжение Минэнерго России о внесении изменений              № 47-р от                15 декабря 2017г,строящийся
39,Общество с ограниченной ответственностью «Марийский нефтеперерабатывающий завод»,ООО «Марийский НПЗ»,"425255, Республика Марий Эл, Оршанский р-н, с. Табашино","Республика Марий Эл, Оршанский р-н, с.Табашино",78,Распоряжение Минэнерго России о внесении изменений              № 58-р от                25 октября 2016г,введен в эксплуатацию
40,Закрытое акционерное общество «Краснодарский нефтеперерабатывающий завод – Краснодарэконефть»,ЗАО «КНПЗ – КЭН»,"350007, Краснодарский край, г. Краснодар, ул.Захарова, д.2","г. Краснодар, ул.Захарова, д.2",54,Распоряжение Минэнерго России № 26-р от  28 октября 2011г,введен в эксплуатацию
41,Общество с ограниченной ответственностью «Анжерская нефтегазовая компания»,ООО «АНГК»,"650070, Кемеровская обл., г. Кемерово, просп.Молодежный, 17","Кемеровская обл., Яйский р-н, пос. Безлесный, в 150 м. к северо-востоку от Анжерской ЛПДС",62,Распоряжение Минэнерго России о внесении изменений              № 22-р от                18 апреля 2014г,введен в эксплуатацию
42,Общество с ограниченной ответственностью «Трансбункер-Ванино»,"ООО «Трансбункер-Ванино», ООО «ТРБ-Ванино»","682860, Хабаровский край, п. Ванино, ул. Одесская, 1А","Хабаровский край,           п. Ванино",98,Распоряжение Минэнерго России № 30-р от  21 декабря 2011г,проектируемый
43,Общество с ограниченной ответственностью «Международный финансовый центр Капитал»,ООО «МФЦ Капитал»,"660077, Красноярский край, г. Красноярск, ул. Весны, д. 3 «А», помещение 21","Иркутская обл., Ангарский р-н, автодорога Новосибирск – Иркутск, 1855 км,             стр. 5",50,Распоряжение Минэнерго России о внесении изменений              № 50-р от                07 сентября 2018г,введен в эксплуатацию
44,Закрытое акционерное общество «СибРосьПереработка»,ЗАО «СРП»,"188302, Ленинградская обл., Гатчинский р-н, вблизи                            дер. Малые Колпаны, участок № 1А","Ленинградская обл., Гатчинский р-н, вблизи                            дер. Малые Колпаны, участок № 1А",85,Распоряжение Минэнерго России № 32-р от  23 декабря 2011г,проектируемый
